"","Country","Code","Date","Open","High","Low","Close"
"996","Australia","ASX 200",2013-01-11,4723.5,4734.600098,4704.200195,4709.5
"997","Australia","ASX 200",2013-01-10,4708.100098,4728.700195,4700.700195,4723
"998","Australia","ASX 200",2013-01-09,4690.799805,4711.299805,4690.799805,4708.100098
"999","Australia","ASX 200",2013-01-08,4721.399902,4736.5,4689.799805,4690.299805
"1000","Australia","ASX 200",2013-01-07,4726.799805,4750.700195,4714.700195,4717.299805
"1001","Australia","ASX 200",2013-01-04,4740.700195,4740.700195,4716.799805,4723.799805
"1002","Australia","ASX 200",2013-01-03,4705.899902,4743.399902,4705.899902,4740.700195
"1003","Australia","ASX 200",2013-01-02,4648.899902,4710.299805,4648.899902,4705.899902
"1004","Australia","ASX 200",2012-12-31,4666,4666,4644.799805,4649
"1005","Australia","ASX 200",2012-12-28,4651.799805,4688.600098,4651.700195,4671.299805
"1006","Australia","ASX 200",2012-12-27,4635.200195,4653,4629.700195,4648
"1007","Australia","ASX 200",2012-12-24,4625.700195,4645.5,4625.700195,4635.200195
"1008","Australia","ASX 200",2012-12-21,4634.100098,4658.700195,4611.200195,4623.600098
"1009","Australia","ASX 200",2012-12-20,4619.700195,4643.5,4610.299805,4634.100098
"1010","Australia","ASX 200",2012-12-19,4604.299805,4627.100098,4603.299805,4617.799805
"1011","Australia","ASX 200",2012-12-18,4579.100098,4610.299805,4579.100098,4595.200195
"1012","Australia","ASX 200",2012-12-17,4583.100098,4586.200195,4569.399902,4573.399902
"1013","Australia","ASX 200",2012-12-14,4582.799805,4598.299805,4579.799805,4583.100098
"1014","Australia","ASX 200",2012-12-13,4583.799805,4592.200195,4577.700195,4582.799805
"1015","Australia","ASX 200",2012-12-12,4576,4603.5,4576,4583.799805
"1016","Australia","ASX 200",2012-12-11,4557.899902,4581,4557.899902,4576
"1017","Australia","ASX 200",2012-12-10,4552.200195,4571.700195,4552.200195,4557.899902
"1018","Australia","ASX 200",2012-12-07,4516.100098,4554.100098,4515.600098,4551.799805
"1019","Australia","ASX 200",2012-12-06,4520.399902,4528.799805,4504.899902,4509.299805
"1020","Australia","ASX 200",2012-12-05,4503.600098,4525.100098,4500.200195,4520.399902
"1021","Australia","ASX 200",2012-12-04,4531.5,4537,4502.100098,4503.600098
"1022","Australia","ASX 200",2012-12-03,4506,4538.600098,4506,4531.5
"1023","Australia","ASX 200",2012-11-30,4477.700195,4514.200195,4477.700195,4506
"1024","Australia","ASX 200",2012-11-29,4447.100098,4477.700195,4445.5,4477.700195
"1025","Australia","ASX 200",2012-11-28,4453.200195,4453.200195,4433,4447.299805
"1026","Australia","ASX 200",2012-11-27,4424.200195,4461.700195,4424,4456.799805
"1027","Australia","ASX 200",2012-11-26,4413,4426,4413,4424.200195
"1028","Australia","ASX 200",2012-11-23,4413.100098,4413.200195,4397.899902,4413
"1029","Australia","ASX 200",2012-11-22,4376.200195,4428.600098,4374,4413.100098
"1030","Australia","ASX 200",2012-11-21,4387.5,4389,4366.799805,4369.5
"1031","Australia","ASX 200",2012-11-20,4361.399902,4391,4361.399902,4385.700195
"1032","Australia","ASX 200",2012-11-19,4345.100098,4364.399902,4340,4361.399902
"1033","Australia","ASX 200",2012-11-16,4350.5,4351.799805,4334.299805,4336.799805
"1034","Australia","ASX 200",2012-11-15,4388.399902,4388.399902,4339,4349.299805
"1035","Australia","ASX 200",2012-11-14,4379.799805,4395.600098,4372,4388.399902
"1036","Australia","ASX 200",2012-11-13,4446.100098,4447.100098,4379.799805,4379.799805
"1037","Australia","ASX 200",2012-11-12,4458.5,4465.200195,4442.899902,4448
"1038","Australia","ASX 200",2012-11-09,4483.799805,4483.799805,4436.600098,4462
"1039","Australia","ASX 200",2012-11-08,4516.5,4516.5,4459.899902,4483.799805
"1040","Australia","ASX 200",2012-11-07,4484.799805,4519.299805,4482.799805,4516.5
"1041","Australia","ASX 200",2012-11-06,4473,4490,4470.399902,4484.799805
"1042","Australia","ASX 200",2012-11-05,4457.399902,4478,4436.200195,4474.100098
"1043","Australia","ASX 200",2012-11-02,4470.100098,4486.399902,4457.299805,4460.100098
"1044","Australia","ASX 200",2012-11-01,4517,4517,4457.600098,4457.600098
"1045","Australia","ASX 200",2012-10-31,4492.399902,4524.799805,4492.100098,4517
"1046","Australia","ASX 200",2012-10-30,4477.399902,4498.899902,4472.799805,4485.700195
"1047","Australia","ASX 200",2012-10-29,4475.399902,4501.899902,4475.200195,4476.899902
"1048","Australia","ASX 200",2012-10-26,4513.299805,4526,4472.100098,4472.399902
"1049","Australia","ASX 200",2012-10-25,4504.799805,4518.799805,4502.700195,4510.5
"1050","Australia","ASX 200",2012-10-24,4543.100098,4543.100098,4501.700195,4505.799805
"1051","Australia","ASX 200",2012-10-23,4539,4565,4537.200195,4543.100098
"1052","Australia","ASX 200",2012-10-22,4558.5,4559.200195,4522.700195,4541
"1053","Australia","ASX 200",2012-10-19,4559.399902,4571.799805,4538,4571.100098
"1054","Australia","ASX 200",2012-10-18,4567.700195,4581.799805,4547.100098,4559.399902
"1055","Australia","ASX 200",2012-10-17,4491.5,4536.799805,4491.5,4528.200195
"1056","Australia","ASX 200",2012-10-16,4483.399902,4516.899902,4483.399902,4491.5
"1057","Australia","ASX 200",2012-10-15,4486.600098,4492.700195,4479.200195,4483.399902
"1058","Australia","ASX 200",2012-10-12,4483.5,4496.100098,4482.700195,4486.600098
"1059","Australia","ASX 200",2012-10-11,4490.700195,4492.799805,4460.399902,4483.5
"1060","Australia","ASX 200",2012-10-10,4498.299805,4499,4476,4490.700195
"1061","Australia","ASX 200",2012-10-09,4483.899902,4512.799805,4482.799805,4505.299805
"1062","Australia","ASX 200",2012-10-08,4494.399902,4495.799805,4476.700195,4481.899902
"1063","Australia","ASX 200",2012-10-05,4452.399902,4495.799805,4452.399902,4494.399902
"1064","Australia","ASX 200",2012-10-04,4438.600098,4457.399902,4436.700195,4452.399902
"1065","Australia","ASX 200",2012-10-03,4433,4454.600098,4432.5,4438.600098
"1066","Australia","ASX 200",2012-10-02,4393.600098,4438.299805,4393.600098,4433
"1067","Australia","ASX 200",2012-10-01,4387,4411.399902,4375,4388.600098
"1068","Australia","ASX 200",2012-09-28,4383.399902,4394.600098,4368.5,4387
"1069","Australia","ASX 200",2012-09-27,4357.5,4384.700195,4336.899902,4384.200195
"1070","Australia","ASX 200",2012-09-26,4363.700195,4365.899902,4348.799805,4361.600098
"1071","Australia","ASX 200",2012-09-25,4385.5,4385.5,4367.299805,4372.899902
"1072","Australia","ASX 200",2012-09-24,4408.299805,4408.299805,4375,4385.5
"1073","Australia","ASX 200",2012-09-21,4397.799805,4418.399902,4396.799805,4408.299805
"1074","Australia","ASX 200",2012-09-20,4413.299805,4414.299805,4394.399902,4397.200195
"1075","Australia","ASX 200",2012-09-19,4394.700195,4421,4386.200195,4418.399902
"1076","Australia","ASX 200",2012-09-18,4402.5,4404.399902,4383.299805,4394.700195
"1077","Australia","ASX 200",2012-09-17,4404.200195,4412.200195,4392.100098,4402.5
"1078","Australia","ASX 200",2012-09-14,4353.700195,4398.299805,4353.700195,4390
"1079","Australia","ASX 200",2012-09-13,4361.299805,4361.299805,4337.200195,4339.399902
"1080","Australia","ASX 200",2012-09-12,4325.799805,4364.799805,4325.799805,4361.299805
"1081","Australia","ASX 200",2012-09-11,4333.700195,4333.700195,4316.700195,4325.799805
"1082","Australia","ASX 200",2012-09-10,4325.799805,4342.299805,4317.299805,4333.799805
"1083","Australia","ASX 200",2012-09-07,4312.899902,4358.299805,4312.899902,4325.799805
"1084","Australia","ASX 200",2012-09-06,4278.799805,4327.100098,4278.799805,4312.899902
"1085","Australia","ASX 200",2012-09-05,4303.5,4303.5,4261.200195,4278.799805
"1086","Australia","ASX 200",2012-09-04,4329.700195,4334.5,4293.899902,4303.5
"1087","Australia","ASX 200",2012-09-03,4310,4337.600098,4287.399902,4329.700195
"1088","Australia","ASX 200",2012-08-31,4315.700195,4328.799805,4305.899902,4316.100098
"1089","Australia","ASX 200",2012-08-30,4356.399902,4356.399902,4302.5,4315.700195
"1090","Australia","ASX 200",2012-08-29,4359.399902,4360.100098,4346.399902,4356.399902
"1091","Australia","ASX 200",2012-08-28,4344.200195,4365.100098,4339.899902,4359.399902
"1092","Australia","ASX 200",2012-08-27,4351.399902,4375.799805,4341,4343.700195
"1093","Australia","ASX 200",2012-08-24,4383.700195,4383.700195,4339.100098,4349
"1094","Australia","ASX 200",2012-08-23,4376,4403.899902,4372,4383.700195
"1095","Australia","ASX 200",2012-08-22,4383.399902,4384.200195,4367.200195,4376
"1096","Australia","ASX 200",2012-08-21,4364.299805,4402.700195,4359.5,4383.399902
"1097","Australia","ASX 200",2012-08-20,4370.100098,4374.700195,4344.200195,4364.299805
"1098","Australia","ASX 200",2012-08-17,4330.200195,4370.100098,4329.299805,4370.100098
"1099","Australia","ASX 200",2012-08-16,4281.200195,4330.200195,4281.200195,4330.200195
"1100","Australia","ASX 200",2012-08-15,4292.200195,4312.399902,4267.100098,4281.200195
"1101","Australia","ASX 200",2012-08-14,4283.299805,4300.799805,4271.799805,4292.200195
"1102","Australia","ASX 200",2012-08-13,4277.299805,4314.700195,4277.299805,4283.299805
"1103","Australia","ASX 200",2012-08-10,4308.299805,4313.200195,4277.100098,4277.299805
"1104","Australia","ASX 200",2012-08-09,4312.600098,4330.399902,4308.299805,4308.299805
"1105","Australia","ASX 200",2012-08-08,4291.600098,4323.799805,4291.600098,4312.600098
"1106","Australia","ASX 200",2012-08-07,4272.600098,4294.399902,4272.600098,4291.600098
"1107","Australia","ASX 200",2012-08-06,4221.5,4288.200195,4221.5,4272.600098
"1108","Australia","ASX 200",2012-08-03,4269.5,4269.5,4212.700195,4221.5
"1109","Australia","ASX 200",2012-08-02,4262.799805,4281.200195,4256.299805,4269.5
"1110","Australia","ASX 200",2012-08-01,4269.200195,4269.200195,4253.700195,4262.799805
"1111","Australia","ASX 200",2012-07-31,4245.700195,4288.100098,4245.700195,4269.200195
"1112","Australia","ASX 200",2012-07-30,4209.799805,4256.200195,4209.799805,4245.700195
"1113","Australia","ASX 200",2012-07-27,4147.700195,4209.799805,4147.700195,4209.799805
"1114","Australia","ASX 200",2012-07-26,4123.899902,4150.899902,4122.399902,4147.700195
"1115","Australia","ASX 200",2012-07-25,4133.200195,4133.200195,4084.399902,4123.899902
"1116","Australia","ASX 200",2012-07-24,4128.899902,4140.799805,4113.799805,4133.200195
"1117","Australia","ASX 200",2012-07-23,4199.100098,4199.100098,4127.299805,4128.899902
"1118","Australia","ASX 200",2012-07-20,4206.700195,4215.600098,4186.100098,4199.100098
"1119","Australia","ASX 200",2012-07-19,4123.600098,4206.700195,4123.600098,4206.700195
"1120","Australia","ASX 200",2012-07-18,4140.799805,4144.200195,4120.700195,4123.600098
"1121","Australia","ASX 200",2012-07-17,4105.100098,4153.600098,4102.700195,4140.799805
"1122","Australia","ASX 200",2012-07-16,4082.199951,4126.899902,4082.199951,4105.100098
"1123","Australia","ASX 200",2012-07-13,4068,4103,4062.300049,4082.199951
"1124","Australia","ASX 200",2012-07-12,4096.5,4108.700195,4062.5,4068
"1125","Australia","ASX 200",2012-07-11,4098,4102.399902,4076.399902,4096.5
"1126","Australia","ASX 200",2012-07-10,4118.299805,4135.899902,4088.699951,4098
"1127","Australia","ASX 200",2012-07-09,4157.799805,4157.799805,4111,4118.299805
"1128","Australia","ASX 200",2012-07-06,4169.200195,4169.399902,4145,4157.799805
"1129","Australia","ASX 200",2012-07-05,4172.200195,4175.799805,4157,4169.200195
"1130","Australia","ASX 200",2012-07-04,4127.200195,4172.5,4127.200195,4172.200195
"1131","Australia","ASX 200",2012-07-03,4133,4141.799805,4119.899902,4127.200195
"1132","Australia","ASX 200",2012-07-02,4094.600098,4151.5,4094.600098,4133
"1133","Australia","ASX 200",2012-06-29,4044.800049,4117,4032.399902,4094.600098
"1134","Australia","ASX 200",2012-06-28,4043.199951,4074.100098,4041.300049,4044.800049
"1135","Australia","ASX 200",2012-06-27,4013.300049,4044.699951,4013.100098,4043.199951
"1136","Australia","ASX 200",2012-06-26,4027.800049,4027.800049,4002.300049,4013.300049
"1137","Australia","ASX 200",2012-06-25,4048.199951,4048.199951,3993.800049,4027.800049
"1138","Australia","ASX 200",2012-06-22,4087.600098,4087.600098,4038.600098,4048.199951
"1139","Australia","ASX 200",2012-06-21,4132.399902,4136.399902,4084.800049,4087.600098
