"","Date","Open","High","Low","Close","Index","Country"
"14834","09-10-2007",1441.41,1479.12,1427.81,1479.12,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14835","09-7-2007",1479.59,1484.61,1455.08,1457.8,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14836","09-6-2007",1482.85,1493.71,1479.36,1486.18,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14837","09-5-2007",1469.82,1480.36,1450.94,1476.1,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14838","09-4-2007",1492.45,1493.02,1464.38,1470.39,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14839","09-3-2007",1470.72,1493.76,1470.72,1487.89,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14840","08-31-2007",1446.04,1462.54,1442.98,1457.83,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14841","08-30-2007",1415.52,1439.8,1412.88,1439.8,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14842","08-29-2007",1426.98,1445.46,1404.59,1411.6,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14843","08-28-2007",1428.42,1438.63,1404.78,1435.46,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14844","08-27-2007",1440.45,1448.5,1420.82,1434.15,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14845","08-24-2007",1419.18,1432.79,1417.15,1431.28,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14846","08-23-2007",1405.34,1418.24,1391.95,1415.18,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14847","08-22-2007",1359.89,1404.3,1355.04,1398.37,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14848","08-21-2007",1366.09,1381.2,1362.02,1375.28,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14849","08-20-2007",1323.54,1356.02,1323.54,1356.02,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14850","08-17-2007",1310.15,1328.94,1294.9,1297.21,"SZSE COMPOSITE INDEX","China-Shenzhen"
