"","CST","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","City","Rain","Snow","Thunderstorm","Fog"
"158",2015-06-07,26,23,21,"Shanghai",1,0,0,0
"159",2015-06-08,23,22,21,"Shanghai",1,0,0,0
"160",2015-06-09,27,23,21,"Shanghai",1,0,0,0
"161",2015-06-10,27,24,22,"Shanghai",1,0,0,0
"162",2015-06-11,31,27,23,"Shanghai",1,0,0,0
"163",2015-06-12,35,29,23,"Shanghai",0,0,0,0
"164",2015-06-13,33,28,24,"Shanghai",0,0,0,0
"165",2015-06-14,32,28,24,"Shanghai",0,0,0,0
"166",2015-06-15,28,24,22,"Shanghai",1,0,0,0
"167",2015-06-16,23,22,21,"Shanghai",1,0,1,0
"168",2015-06-17,26,23,21,"Shanghai",1,0,1,0
"169",2015-06-18,25,23,21,"Shanghai",1,0,0,0
"170",2015-06-19,27,23,19,"Shanghai",0,0,0,0
"171",2015-06-20,29,24,21,"Shanghai",0,0,0,0
"172",2015-06-21,28,24,20,"Shanghai",1,0,0,0
"173",2015-06-22,25,22,20,"Shanghai",1,0,0,0
"174",2015-06-23,30,27,23,"Shanghai",0,0,0,0
"175",2015-06-24,33,29,25,"Shanghai",1,0,0,0
"176",2015-06-25,36,31,26,"Shanghai",0,0,0,0
"177",2015-06-26,28,26,23,"Shanghai",1,0,1,0
"178",2015-06-27,24,22,21,"Shanghai",1,0,1,0
"179",2015-06-28,23,22,21,"Shanghai",1,0,0,0
"180",2015-06-29,27,24,22,"Shanghai",1,0,0,0
"181",2015-06-30,33,27,22,"Shanghai",1,0,0,0
"182",2015-07-01,28,23,19,"Shanghai",1,0,0,0
"183",2015-07-02,29,26,22,"Shanghai",0,0,0,0
"184",2015-07-03,29,26,23,"Shanghai",0,0,0,0
"185",2015-07-04,24,22,20,"Shanghai",1,0,0,0
"186",2015-07-05,24,21,18,"Shanghai",1,0,0,0
"187",2015-07-06,21,19,18,"Shanghai",1,0,0,0
"188",2015-07-07,23,20,18,"Shanghai",1,0,0,0
"189",2015-07-08,25,23,21,"Shanghai",1,0,0,0
"190",2015-07-09,28,26,23,"Shanghai",1,0,0,0
"191",2015-07-10,30,27,24,"Shanghai",1,0,0,0
"192",2015-07-11,25,24,23,"Shanghai",1,0,0,0
"193",2015-07-12,30,27,23,"Shanghai",1,0,0,0
"194",2015-07-13,34,29,25,"Shanghai",0,0,0,0
"195",2015-07-14,34,29,25,"Shanghai",0,0,0,0
"196",2015-07-15,32,28,25,"Shanghai",0,0,0,0
"197",2015-07-16,30,28,25,"Shanghai",0,0,0,0
"198",2015-07-17,28,27,25,"Shanghai",1,0,0,0
"199",2015-07-18,30,27,24,"Shanghai",1,0,0,0
"200",2015-07-19,32,28,24,"Shanghai",0,0,0,0
"201",2015-07-20,32,29,26,"Shanghai",0,0,0,0
"202",2015-07-21,31,28,26,"Shanghai",0,0,0,0
"203",2015-07-22,32,29,26,"Shanghai",1,0,1,0
"204",2015-07-23,31,29,27,"Shanghai",1,0,1,0
"205",2015-07-24,34,30,26,"Shanghai",1,0,0,0
"206",2015-07-25,36,31,27,"Shanghai",1,0,1,0
"207",2015-07-26,36,31,27,"Shanghai",0,0,1,0
"208",2015-07-27,38,33,29,"Shanghai",0,0,0,0
"209",2015-07-28,38,33,29,"Shanghai",0,0,0,0
"210",2015-07-29,38,34,30,"Shanghai",0,0,0,0
"211",2015-07-30,36,31,27,"Shanghai",0,0,0,0
"212",2015-07-31,38,33,29,"Shanghai",0,0,0,0
"213",2015-08-01,38,33,29,"Shanghai",1,0,1,0
"214",2015-08-02,38,33,28,"Shanghai",0,0,0,0
"215",2015-08-03,38,33,29,"Shanghai",0,0,0,0
"216",2015-08-04,39,33,28,"Shanghai",0,0,0,0
"217",2015-08-05,38,33,28,"Shanghai",0,0,0,0
"218",2015-08-06,35,31,27,"Shanghai",0,0,0,0
"219",2015-08-07,34,31,29,"Shanghai",0,0,1,0
"220",2015-08-08,33,31,29,"Shanghai",1,0,0,0
"221",2015-08-09,31,29,28,"Shanghai",1,0,0,0
"222",2015-08-10,30,28,27,"Shanghai",1,0,0,0
"223",2015-08-11,30,28,25,"Shanghai",1,0,0,0
"224",2015-08-12,32,28,24,"Shanghai",0,0,0,0
"225",2015-08-13,32,28,25,"Shanghai",0,0,0,0
"226",2015-08-14,33,29,25,"Shanghai",0,0,0,0
"227",2015-08-15,32,28,25,"Shanghai",0,0,0,0
"228",2015-08-16,30,28,26,"Shanghai",1,0,0,0
"229",2015-08-17,32,28,24,"Shanghai",0,0,0,0
"230",2015-08-18,33,29,25,"Shanghai",0,0,0,0
"231",2015-08-19,34,29,25,"Shanghai",0,0,0,0
"232",2015-08-20,32,28,25,"Shanghai",1,0,0,0
"233",2015-08-21,29,27,25,"Shanghai",1,0,0,0
"234",2015-08-22,25,24,23,"Shanghai",1,0,0,0
"235",2015-08-23,25,24,24,"Shanghai",1,0,0,0
"236",2015-08-24,25,23,22,"Shanghai",1,0,0,0
"237",2015-08-25,30,26,22,"Shanghai",0,0,0,0
"238",2015-08-26,31,27,23,"Shanghai",0,0,0,0
"239",2015-08-27,32,28,24,"Shanghai",0,0,0,0
"240",2015-08-28,32,28,24,"Shanghai",1,0,1,0
"241",2015-08-29,30,28,25,"Shanghai",1,0,1,0
"242",2015-08-30,31,27,24,"Shanghai",0,0,0,0
"243",2015-08-31,30,27,24,"Shanghai",0,0,0,0
"244",2015-09-01,32,28,24,"Shanghai",0,0,0,0
"245",2015-09-02,32,28,25,"Shanghai",0,0,0,0
"246",2015-09-03,32,27,23,"Shanghai",0,0,0,0
"247",2015-09-04,31,28,25,"Shanghai",1,0,0,0
"248",2015-09-05,30,28,24,"Shanghai",1,0,0,0
"249",2015-09-06,31,27,23,"Shanghai",0,0,0,0
"250",2015-09-07,30,26,22,"Shanghai",0,0,0,0
"251",2015-09-08,30,27,23,"Shanghai",0,0,0,0
"252",2015-09-09,29,26,22,"Shanghai",0,0,0,0
"253",2015-09-10,30,25,20,"Shanghai",0,0,0,0
"254",2015-09-11,31,26,21,"Shanghai",0,0,0,0
"255",2015-09-12,25,22,19,"Shanghai",1,0,0,0
"256",2015-09-13,27,22,17,"Shanghai",0,0,0,0
"257",2015-09-14,27,23,20,"Shanghai",0,0,0,0
"258",2015-09-15,24,22,20,"Shanghai",1,0,0,0
"259",2015-09-16,25,22,20,"Shanghai",0,0,0,0
"260",2015-09-17,27,23,19,"Shanghai",0,0,0,0
"261",2015-09-18,27,23,19,"Shanghai",0,0,0,0
"262",2015-09-19,29,24,21,"Shanghai",0,0,0,0
"263",2015-09-20,26,23,21,"Shanghai",0,0,0,0
"264",2015-09-21,28,24,20,"Shanghai",0,0,0,0
"265",2015-09-22,26,23,22,"Shanghai",1,0,0,0
"266",2015-09-23,27,24,22,"Shanghai",1,0,0,0
"267",2015-09-24,29,24,21,"Shanghai",0,0,0,0
"268",2015-09-25,27,24,22,"Shanghai",1,0,0,0
"269",2015-09-26,29,24,20,"Shanghai",0,0,0,0
"270",2015-09-27,28,24,20,"Shanghai",0,0,0,0
"271",2015-09-28,27,23,21,"Shanghai",1,0,0,0
"272",2015-09-29,24,23,22,"Shanghai",1,0,0,0
"273",2015-09-30,30,27,24,"Shanghai",1,0,0,0
"274",2015-10-01,26,22,18,"Shanghai",1,0,0,0
"275",2015-10-02,27,21,15,"Shanghai",0,0,0,0
"276",2015-10-03,28,23,18,"Shanghai",0,0,0,0
"277",2015-10-04,25,21,18,"Shanghai",1,0,0,0
"278",2015-10-05,20,19,18,"Shanghai",1,0,0,0
"279",2015-10-06,25,22,19,"Shanghai",0,0,0,0
"280",2015-10-07,24,22,21,"Shanghai",1,0,0,0
"281",2015-10-08,21,19,18,"Shanghai",1,0,0,0
"282",2015-10-09,25,21,17,"Shanghai",0,0,0,0
"283",2015-10-10,25,20,15,"Shanghai",0,0,0,0
"284",2015-10-11,22,18,14,"Shanghai",0,0,0,0
"285",2015-10-12,24,18,12,"Shanghai",0,0,0,0
"286",2015-10-13,25,19,13,"Shanghai",0,0,0,0
"287",2015-10-14,24,19,15,"Shanghai",0,0,0,0
"288",2015-10-15,27,21,16,"Shanghai",0,0,0,0
"289",2015-10-16,27,22,17,"Shanghai",0,0,0,0
"290",2015-10-17,26,21,16,"Shanghai",0,0,0,0
"291",2015-10-18,25,20,16,"Shanghai",0,0,0,0
"292",2015-10-19,26,21,16,"Shanghai",0,0,0,0
"293",2015-10-20,26,21,17,"Shanghai",0,0,0,0
"294",2015-10-21,26,21,16,"Shanghai",0,0,0,0
"295",2015-10-22,27,22,17,"Shanghai",0,0,0,0
"296",2015-10-23,26,21,17,"Shanghai",0,0,0,0
"297",2015-10-24,27,23,19,"Shanghai",0,0,0,0
"298",2015-10-25,24,21,18,"Shanghai",0,0,0,0
"299",2015-10-26,26,22,19,"Shanghai",1,0,0,0
"300",2015-10-27,22,18,14,"Shanghai",1,0,1,0
"301",2015-10-28,21,16,11,"Shanghai",1,0,0,0
"302",2015-10-29,18,16,14,"Shanghai",1,0,0,0
"303",2015-10-30,18,17,15,"Shanghai",1,0,0,0
"304",2015-10-31,19,16,13,"Shanghai",1,0,0,0
"305",2015-11-01,15,13,12,"Shanghai",1,0,0,0
"306",2015-11-02,18,14,10,"Shanghai",0,0,0,0
"307",2015-11-03,20,14,9,"Shanghai",0,0,0,0
"308",2015-11-04,20,18,15,"Shanghai",1,0,0,0
"309",2015-11-05,25,21,18,"Shanghai",1,0,0,0
"310",2015-11-06,26,23,20,"Shanghai",1,0,0,0
"311",2015-11-07,27,21,15,"Shanghai",1,0,1,0
"312",2015-11-08,15,14,12,"Shanghai",1,0,0,0
"313",2015-11-09,14,13,11,"Shanghai",1,0,0,0
"314",2015-11-10,17,13,9,"Shanghai",0,0,0,0
"315",2015-11-11,19,14,11,"Shanghai",0,0,0,0
"316",2015-11-12,17,16,14,"Shanghai",1,0,0,0
"317",2015-11-13,16,14,14,"Shanghai",1,0,0,0
"318",2015-11-14,18,16,13,"Shanghai",1,0,0,0
"319",2015-11-15,20,16,11,"Shanghai",0,0,0,0
"320",2015-11-16,20,18,16,"Shanghai",1,0,0,0
"321",2015-11-17,17,16,14,"Shanghai",1,0,0,0
"322",2015-11-18,17,16,14,"Shanghai",1,0,0,0
"323",2015-11-19,15,14,13,"Shanghai",1,0,0,0
"324",2015-11-20,16,14,13,"Shanghai",1,0,0,0
"325",2015-11-21,17,16,15,"Shanghai",1,0,0,0
"326",2015-11-22,20,18,17,"Shanghai",1,0,0,0
"327",2015-11-23,19,17,15,"Shanghai",1,0,0,0
"328",2015-11-24,16,13,10,"Shanghai",1,0,0,0
"329",2015-11-25,10,8,5,"Shanghai",1,0,0,0
"330",2015-11-26,5,2,0,"Shanghai",0,0,0,0
"331",2015-11-27,7,2,-2,"Shanghai",0,0,0,0
"332",2015-11-28,15,10,6,"Shanghai",1,0,0,0
"333",2015-11-29,12,10,8,"Shanghai",1,0,0,1
"334",2015-11-30,17,12,7,"Shanghai",0,0,0,1
"335",2015-12-01,18,13,9,"Shanghai",0,0,0,0
"336",2015-12-02,15,12,9,"Shanghai",1,0,0,0
"337",2015-12-03,13,8,4,"Shanghai",0,0,0,0
"338",2015-12-04,10,7,4,"Shanghai",0,0,0,0
"339",2015-12-05,9,6,2,"Shanghai",1,0,0,0
"340",2015-12-06,9,6,2,"Shanghai",1,0,0,0
"341",2015-12-07,14,8,2,"Shanghai",0,0,0,1
"342",2015-12-08,14,9,4,"Shanghai",0,0,0,0
"343",2015-12-09,15,12,9,"Shanghai",1,0,0,0
"344",2015-12-10,13,12,12,"Shanghai",1,0,0,0
"345",2015-12-11,12,8,5,"Shanghai",0,0,0,0
"346",2015-12-12,13,8,3,"Shanghai",0,0,0,0
"347",2015-12-13,10,8,7,"Shanghai",1,0,0,0
"348",2015-12-14,10,8,7,"Shanghai",0,0,0,0
"349",2015-12-15,10,8,6,"Shanghai",0,0,0,0
"350",2015-12-16,8,4,2,"Shanghai",0,0,0,0
"351",2015-12-17,5,2,0,"Shanghai",0,0,0,0
"352",2015-12-18,10,4,-2,"Shanghai",0,0,0,0
"353",2015-12-19,11,6,1,"Shanghai",0,0,0,0
"354",2015-12-20,11,9,7,"Shanghai",1,0,0,0
"355",2015-12-21,10,8,5,"Shanghai",0,0,0,0
"356",2015-12-22,16,11,7,"Shanghai",1,0,0,0
"357",2015-12-23,12,10,9,"Shanghai",1,0,0,0
"358",2015-12-24,11,9,8,"Shanghai",1,0,0,0
"359",2015-12-25,10,8,5,"Shanghai",1,0,0,0
"360",2015-12-26,14,8,2,"Shanghai",0,0,0,1
"361",2015-12-27,12,9,6,"Shanghai",1,0,0,0
"362",2015-12-28,8,6,3,"Shanghai",0,0,0,0
"363",2015-12-29,11,6,2,"Shanghai",0,0,0,0
"364",2015-12-30,13,8,3,"Shanghai",0,0,0,0
"365",2015-12-31,11,7,4,"Shanghai",0,0,0,0
"366",2016-01-01,13,7,1,"Shanghai",0,0,0,0
"367",2016-01-02,17,13,9,"Shanghai",0,0,0,0
"368",2016-01-03,16,13,10,"Shanghai",1,0,0,0
"369",2016-01-04,15,12,10,"Shanghai",1,0,0,0
"370",2016-01-05,12,10,8,"Shanghai",1,0,0,0
"371",2016-01-06,10,8,7,"Shanghai",1,0,0,0
