Date,Close,High,Low,Open
2011/6/7,11741.259,11756.904,11599.313,11614.001
2011/6/3,11642.401,11690.092,11487.299,11492.33
2011/6/2,11506.521,11613.5,11366.119,11566.428
2011/6/1,11699.827,11719.644,11593.826,11648.862
2011/5/31,11665.141,11665.141,11420.942,11485.748
2011/5/30,11478.206,11595.138,11405.062,11456.306
2011/5/27,11492.712,11645.975,11483.556,11537.035
2011/5/26,11530.7,11752.728,11530.7,11695.492
2011/5/25,11615.416,11795.734,11600.211,11716.147
2011/5/24,11749.924,11768.781,11640.221,11703.641
2011/5/23,11742.186,12148.591,11742.186,12148.591
2011/5/20,12161.026,12221.811,12130.153,12167.8
2011/5/19,12158.112,12341.927,12153.411,12270.246
2011/5/18,12230.689,12262.469,12091.579,12100.887
2011/5/17,12128.495,12212.152,11983.884,12031.835
2011/5/16,12051.241,12215.97,12046.541,12110.971
2011/5/13,12156.605,12164.128,11958.582,12092.164
2011/5/12,12072.208,12249.336,12072.208,12114.454
2011/5/11,12202.62,12282.881,12117.673,12229.306
2011/5/10,12216.94,12216.94,12102.792,12146.326
2011/5/9,12125.013,12214.18,12074.141,12074.141
2011/5/6,12067.609,12150.243,11896.979,11958.037
2011/5/5,12085.993,12133.144,12005.44,12017.284
2011/5/4,12070.405,12365.236,12014.421,12365.236
2011/5/3,12423.462,12423.462,12199.575,12314.695
2011/4/29,12312.991,12312.991,12138.851,12148.933
2011/4/28,12149.247,12447.745,12148.173,12398.685
2011/4/27,12358.882,12573.302,12280.08,12502.957
2011/4/26,12448.484,12548.17,12361.857,12486.817
2011/4/25,12508.009,12664.446,12487.526,12664.446
2011/4/22,12708.42,12819.957,12687.623,12796.331
2011/4/21,12798.751,12864.721,12760.738,12795.794
2011/4/20,12753.846,12849.649,12720.518,12779.02
2011/4/19,12799.241,12909.187,12727.308,12876.198
2011/4/18,13001.331,13045.818,12881.589,12912.978
2011/4/15,12965.746,13054.809,12825.462,12948.819
2011/4/14,12991.925,13119.479,12964.283,13119.479
2011/4/13,13102.083,13102.083,12772.315,12848.156
2011/4/12,12902.223,13042.246,12839.529,12906.611
2011/4/11,12925.046,13142.429,12918.929,13075.688
2011/4/8,13036.232,13039.732,12839.705,12881.254
2011/4/7,12890.655,12908.703,12715.785,12749.527
2011/4/6,12740.87,12765.759,12568.844,12648.913
2011/4/1,12699.417,12699.417,12498.834,12559.775
2011/3/31,12562.901,12707.983,12501.243,12665.858
2011/3/30,12661.216,12774.424,12565.143,12677.986
2011/3/29,12677.608,12895.385,12670.688,12848.744
2011/3/28,12875.517,13075.232,12858.449,13020.214
2011/3/25,12942.071,12980.308,12780.533,12797.969
2011/3/24,12771.455,12893.359,12768.941,12878.07
2011/3/23,12845.529,12853.153,12648.73,12670.264
2011/3/22,12667.263,12706.883,12471.39,12679.812
2011/3/21,12643.731,12806.742,12594.125,12745.376
2011/3/18,12721.991,12839.295,12675.494,12796.405
2011/3/17,12650.673,12851.924,12612.773,12741.813
2011/3/16,12865.754,12876.119,12668.244,12699.396
2011/3/15,12705.322,12905.986,12447.705,12905.986
2011/3/14,12958.292,12958.292,12776.909,12814.101
2011/3/11,12848.019,13038.993,12821.072,12928.253
2011/3/10,13004.855,13115.168,12994.263,13115.168
2011/3/9,13158.215,13233.019,13102.189,13171.051
2011/3/8,13144.182,13154.909,13041.21,13146.679
2011/3/7,13140.882,13163.207,12961.424,12961.424
2011/3/4,12893.842,12908.488,12669.52,12714.238
2011/3/3,12698.16,12966.846,12698.16,12889.231
2011/3/2,12880.266,12912.718,12683.984,12878.429
2011/3/1,12948.718,13023.017,12866.823,12911.067
2011/2/28,12902.435,12907.683,12562.949,12658.192
2011/2/25,12633.879,12735.153,12464.398,12585.823
2011/2/24,12578.426,12601.433,12387.757,12476.04
2011/2/23,12492.705,12554.982,12396.054,12436.626
2011/2/22,12473.331,12918.421,12465.416,12917.363
2011/2/21,12872.466,12872.948,12518.608,12526.253
2011/2/18,12613.112,12751.15,12586.385,12750.265
2011/2/17,12788.335,12936.737,12664.854,12907.69
2011/2/16,12884.87,12884.87,12617.101,12675.871
2011/2/15,12711.575,12865.473,12707.208,12767.79
2011/2/14,12737.804,12766.049,12318.306,12318.306
2011/2/11,12292.491,12376.027,12127.741,12162.324
2011/2/10,12170.512,12177.438,11764.226,11775.103
2011/2/9,11807.927,12041.958,11774.295,11903.646
2011/2/1,11991.512,12052.387,11928.007,12044.407
2011/1/31,11994.684,12020.513,11820.199,11884.342
2011/1/28,11894.227,11935.041,11768.814,11789.642
2011/1/27,11795.33,11832.536,11392.941,11481.777
2011/1/26,11599.671,11633.103,11459.016,11459.016
2011/1/25,11446.372,11523.789,11377.336,11465.526
2011/1/24,11488.917,11689.281,11419.362,11661.759
2011/1/21,11639.959,11860.609,11491.935,11534.203
2011/1/20,11566.74,12034.615,11566.07,12034.615
2011/1/19,12066.547,12076.966,11730.736,11785.496
2011/1/18,11771.588,11797.218,11624.339,11699.508
2011/1/17,11734.624,12229.556,11712.684,12159.954
2011/1/14,12294.165,12390.659,12212.498,12390.659
2011/1/13,12423.343,12486.229,12358.447,12457.767
2011/1/12,12409.978,12518.435,12251.409,12435.719
2011/1/11,12385.172,12419.295,12212.604,12275.895
2011/1/10,12331.158,12644.32,12292.114,12577.093
2011/1/7,12573.937,12783.677,12502.167,12587.49
2011/1/6,12599.656,12790.928,12567.666,12683.749
2011/1/5,12647.629,12741.469,12567.051,12634.713
2011/1/4,12714.514,12743.478,12536.662,12578.447
2010/12/31,12458.552,12476.512,12159.135,12171.493
2010/12/30,12138.895,12211.072,11971.748,12111.884
2010/12/29,12114.564,12125.388,11963.72,12080.088
2010/12/28,12063.802,12288.171,12017.563,12235.684
2010/12/27,12303.188,12808.83,12272.242,12575.427
