"","Date","Holiday","Information.Reliability","District","Country"
"198",2014-01-14,"Milad-Un-Nabi(Id-E-Milad)","Official","National","India"
"199",2014-01-26,"Republic Day","Official","National","India"
"200",2014-03-17,"Holi","Official","National","India"
"201",2014-04-08,"Ram Navami","Official","National","India"
"202",2014-04-13,"Mahavir Jayanti","Official","National","India"
"203",2014-04-14,"Ambedkar Jayanti","Official","National","India"
"204",2014-04-18,"Good Friday","Official","National","India"
"205",2014-05-14,"Buddha Purnima","Official","National","India"
"206",2014-07-29,"Idu'l Fitr","Official","National","India"
"207",2014-08-15,"Independence Day","Official","National","India"
"208",2014-08-18,"Janmashtami","Official","National","India"
"209",2014-10-02,"Mahatma Gandhi Jayanti","Official","National","India"
"210",2014-10-03,"Dussehra","Official","National","India"
"211",2014-10-06,"Id-ul-Zuha(Bakrid)","Official","National","India"
"212",2014-10-23,"Diwali(Deepavali)","Official","National","India"
"213",2014-11-04,"Muharram(Ashura)","Official","National","India"
"214",2014-11-06,"Guru Nanak Jayanti","Official","National","India"
"215",2014-12-25,"Christmas","Official","National","India"
"216",2015-01-04,"Milad-Un-Nabi(Id-E-Milad)","Official","National","India"
"217",2015-01-26,"Republic Day","Official","National","India"
"218",2015-03-06,"Holi","Official","National","India"
"219",2015-03-28,"Ram Navami ","Official","National","India"
"220",2015-04-02,"Mahavir Jayanti","Official","National","India"
"221",2015-04-03,"Good Friday","Official","National","India"
"222",2015-04-14,"Ambedkar Jayanti","Official","National","India"
"223",2015-05-04,"Buddha Purnima","Official","National","India"
"224",2015-07-18,"Idu'l Fitr","Official","National","India"
"225",2015-08-15,"Independence Day","Official","National","India"
"226",2015-09-05,"Janmashtami","Official","National","India"
"227",2015-09-25,"Id-ul-Zuha(Bakrid) ","Official","National","India"
"228",2015-10-02,"Mahatma Gandhi Jayanti","Official","National","India"
"229",2015-10-22,"Dussehra","Official","National","India"
"230",2015-10-24,"Muharram(Ashura)","Official","National","India"
"231",2015-11-11,"Diwali(Deepavali)","Official","National","India"
"232",2015-11-25,"Guru Nanak Jayanti","Official","National","India"
"233",2015-12-24,"Milad-Un-Nabi(Id-E-Milad)","Official","National","India"
"234",2015-12-25,"Christmas","Official","National","India"
"235",2016-01-26,"Republic Day","Official","National","India"
"236",2016-03-24,"Holi","Official","National","India"
"237",2016-03-25,"Good Friday","Official","National","India"
"238",2016-04-14,"Ambedkar Jayanti","Official","National","India"
"239",2016-04-15,"Ram Navami ","Official","National","India"
"240",2016-04-20,"Mahavir Jayanti","Official","National","India"
"241",2016-05-21,"Buddha Purnima","Official","National","India"
"242",2016-07-07,"Idu'l Fitr ","Official","National","India"
"243",2016-08-15,"Independence Day","Official","National","India"
"244",2016-08-25,"Janmashtami","Official","National","India"
"245",2016-09-13,"Id-ul-Zuha(Bakrid) ","Official","National","India"
"246",2016-10-02,"Mahatma Gandhi Jayanti","Official","National","India"
"247",2016-10-11,"Dussehra","Official","National","India"
"248",2016-10-12,"Muharram(Ashura)","Official","National","India"
"249",2016-10-30,"Diwali(Deepavali)","Official","National","India"
"250",2016-11-14,"Guru Nanak Jayanti","Official","National","India"
"251",2016-12-13,"Milad-Un-Nabi(Id-E-Milad)","Official","National","India"
"252",2016-12-25,"Christmas","Official","National","India"
"253",2017-01-26,"Republic Day","Official","National","India"
"254",2017-02-24,"Maha Shivaratri(Shivaratri)","Official","National","India"
"255",2017-03-13,"Holi","Official","National","India"
"256",2017-04-04,"Ram Navami","Official","National","India"
"257",2017-04-09,"Mahavir Jayanti","Official","National","India"
"258",2017-04-14,"Good Friday","Official","National","India"
"259",2017-05-10,"Buddha Purnima","Official","National","India"
"260",2017-06-26,"Idu'l Fitr","Official","National","India"
"261",2017-08-15,"Independence Day","Official","National","India"
"262",2017-09-02,"Id-ul-Zuha(Bakrid)","Official","National","India"
"263",2017-09-30,"Dussehra","Official","National","India"
"264",2017-10-01,"Muharram(Ashura)","Official","National","India"
"265",2017-10-02,"Mahatma Gandhi Jayanti","Official","National","India"
"266",2017-10-19,"Diwali(Deepavali)","Official","National","India"
"267",2017-11-04,"Guru Nanak Jayanti","Official","National","India"
"268",2017-12-02,"Milad-Un-Nabi(Id-E-Milad)","Official","National","India"
"269",2017-12-25,"Christmas","Official","National","India"
"270",2012-01-01,"New Year's Day","Official","National","Australia"
"271",2012-01-02,"New Year's Day","Official","National","Australia"
"272",2012-01-26,"Australia Day","Official","National","Australia"
"273",2012-03-05,"Labour Day ","Official","WA","Australia"
"274",2012-04-06,"Good Friday","Official","National","Australia"
"275",2012-04-07,"Holy Saturday ","Official","National","Australia"
"276",2012-04-08,"Easter Day","Official","National","Australia"
"277",2012-04-09,"Easter Day","Official","National","Australia"
"278",2012-04-25,"Anzac Day ","Official","National","Australia"
"279",2012-05-07,"May Day","Official","NT,QLD","Australia"
"280",2012-06-04,"Western Australia Day ","Official","WA","Australia"
"281",2012-06-11,"Queen's Birthday ","Official","National","Australia"
"282",2012-08-06,"Picnic Day","Official","NT","Australia"
"283",2012-10-01,"Labour Day","Official","NSW,ACT,SA","Australia"
"284",2012-10-01,"Queens Birthday","Official","QLD,WA","Australia"
"285",2012-12-25,"Christmas Day","Official","National","Australia"
"286",2012-12-26,"Boxing Day","Official","National","Australia"
"287",2013-01-01,"New Year's Day","Official","National","Australia"
"288",2013-01-26,"Australia Day","Official","National","Australia"
"289",2013-01-28,"Australia Day","Official","National","Australia"
"290",2013-03-04,"Labour Day","Official","WA","Australia"
"291",2013-03-11,"Labour Day","Official","VIC,TAS","Australia"
"292",2013-03-11,"Canberra Day","Official","ACT","Australia"
"293",2013-03-11,"Adelaide Cup ","Official","SA","Australia"
